score	negative_comment	city_name	date	positive_comment	target	overall_comment
10		t-ai-pei	2018年7月20日		信星青年旅馆 - 台北车站	不方便晾晒衣服
10		t-ai-pei	2018年7月12日		信星青年旅馆 - 台北车站	位置很好房间整洁下吃来依然会选择
10		kao-hsiung	2017年8月8日		鸟巢顶级商旅	朋友推荐的酒店，住的感觉真的不错，而且我好喜欢沐浴乳的味道...
10		kao-hsiung	2017年8月8日		鸟巢顶级商旅	服务态度很好的，问了各种问题，都耐心解答，房间很整洁...
7.5		kao-hsiung	2018年9月23日		城市商旅 - 真爱馆	地理位置、舒适度好
9.2		kao-hsiung	2018年9月17日		城市商旅 - 真爱馆	房间比较舒服，座在阳台可以看海，是旅游观光的好地方...
7.5		kao-hsiung	2019年1月23日		德立庄 - 高雄博爱馆	整体环境还是很干净的，交通也方便
10		kao-hsiung	2019年1月19日		德立庄 - 高雄博爱馆	地理位置绝佳 服务很棒
8.3		kao-hsiung	2018年8月19日		塩旅社	温暖有意思的住宿，离周遭景点都很近，骑脚踏车可以到达...
10		kao-hsiung	2018年6月22日		塩旅社	这里的服务人员很亲切！
5.8		kao-hsiung	2018年7月11日		宫赏艺术大饭店	进房间完全没看出来有设计过的感觉...
3.8		kao-hsiung	2018年7月10日		宫赏艺术大饭店	不愉快
7.1		kao-hsiung	2018年3月18日		华大商旅	满干净的，附近什么都有
9.2		kao-hsiung	2018年1月25日		华大商旅	老板很热心 服务好
8.3		kao-hsiung	2019年5月2日		单人房住宿空间 - 高雄林森馆	位置不容易找到
5.0		kao-hsiung	2019年4月24日		单人房住宿空间 - 高雄林森馆	隔音非常差
10		t-ai-pei	2018年7月7日		信星青年旅馆 - 台北车站	都很不错。
10		t-ai-pei	2018年6月16日		信星青年旅馆 - 台北车站	公共空间超级满意、员工也很热情
10		kao-hsiung	2017年8月6日		鸟巢顶级商旅	我朋友推荐我入住的，原本以为就是普通的小酒店...
10		kao-hsiung	2017年8月5日		鸟巢顶级商旅	超值的酒店，房间的空间很充足，真的很满意。
7.5		kao-hsiung	2018年8月15日		城市商旅 - 真爱馆	地理位置优越，服务人员热情，床铺舒适。
10		kao-hsiung	2018年8月12日		城市商旅 - 真爱馆	高大上
9.6		kao-hsiung	2019年1月15日		德立庄 - 高雄博爱馆	离后驿站很近，走了两三分钟，边上有小吃店...
8.8		kao-hsiung	2019年1月13日		德立庄 - 高雄博爱馆	位置很好 后驿站4号口出来 斜对面就是！
10		kao-hsiung	2018年5月27日		塩旅社	位置很棒，民宿超级干净舒服。距离驳二艺术区100米左右，到旗津也很方便。附近有好吃的。
8.3		kao-hsiung	2018年3月28日		塩旅社	床垫子很舒服，给升级的多窗房（真不能称之为海景房...
7.5		kao-hsiung	2018年6月25日		宫赏艺术大饭店	房间超大。
8.3		kao-hsiung	2018年6月19日		宫赏艺术大饭店	体验感一般
9.2		kao-hsiung	2017年11月6日		华大商旅	不错
8.3		kao-hsiung	2017年10月23日		华大商旅	睡得舒服，地点很好
10		kao-hsiung	2019年5月7日		高雄丽馨商旅七贤馆	酒店位置还不错，周围有一些“市政办公大楼”，环境还不错。
10		kao-hsiung	2019年2月27日		单人房住宿空间 - 高雄林森馆	洗浴可以蒸汽和泡浴
7.1		kao-hsiung	2019年2月22日		单人房住宿空间 - 高雄林森馆	出乎意料，没想到不是宾馆
9.6		t-ai-pei	2018年6月10日		信星青年旅馆 - 台北车站	很滿意
10		t-ai-pei	2018年6月2日		信星青年旅馆 - 台北车站	很棒，同类型，我住过的算top1
10		kao-hsiung	2017年8月4日		鸟巢顶级商旅	酒店附近的捷运站是美丽岛站，在市中心很方便。
10		kao-hsiung	2017年8月4日		鸟巢顶级商旅	酒店采用大理石做主要色调，整体感觉很有格调。
10		kao-hsiung	2018年8月2日		城市商旅 - 真爱馆	可以看到高雄港船隻及日落、夜景，駁二藝術特區就在旁邊...
8.8		kao-hsiung	2018年7月16日		城市商旅 - 真爱馆	房間大又乾淨
9.2		kao-hsiung	2019年1月6日		德立庄 - 高雄博爱馆	位置方便，干净整洁。
9.6		kao-hsiung	2018年12月27日		德立庄 - 高雄博爱馆	房间虽然小了些，但是设施齐全，隔音效果好，床很舒服。
7.5		kao-hsiung	2018年2月20日		塩旅社	总体还是不错的！
7.1		kao-hsiung	2018年2月20日		塩旅社	店员很热情
10		kao-hsiung	2018年6月15日		宫赏艺术大饭店	让人惊艳的酒店
9.2		kao-hsiung	2018年5月22日		宫赏艺术大饭店	房间很宽敞，有吧台和休闲的沙发和茶几，距离美丽岛捷运站很近...
3.8		kao-hsiung	2017年10月12日		华大商旅	整体条件差
8.3		kao-hsiung	2017年9月25日		华大商旅	用品都蠻整潔
5.8		kao-hsiung	2019年4月26日		高雄丽馨商旅七贤馆	楼下有免费饮料，有自行车可以借，工作人员态度好
9.6		kao-hsiung	2019年3月1日		高雄丽馨商旅七贤馆	具有性价比的舒适酒店
10		kao-hsiung	2019年2月8日		单人房住宿空间 - 高雄林森馆	全部满意
5.4		kao-hsiung	2019年2月5日		单人房住宿空间 - 高雄林森馆	no
10		t-ai-pei	2018年5月23日		信星青年旅馆 - 台北车站	环境
10		t-ai-pei	2018年5月21日		信星青年旅馆 - 台北车站	干净卫生 工作人员超nice的
10		kao-hsiung	2017年8月4日		鸟巢顶级商旅	从大厅走进来就有一个鸟笼造型的沙发，很有创意。
10		kao-hsiung	2017年8月3日		鸟巢顶级商旅	位置好，环境很喜欢，装修真的很好，卫生也好，服务也好...
6.3		kao-hsiung	2018年7月2日		城市商旅 - 真爱馆	平實
10		kao-hsiung	2018年5月20日		城市商旅 - 真爱馆	房间特别宽敞舒适，推荐住海景房，这次台湾之行最喜欢这个酒店啦。
8.8		kao-hsiung	2018年12月11日		德立庄 - 高雄博爱馆	挺不错的，员工帮忙邮寄遗失物品，感谢。
8.8		kao-hsiung	2018年10月24日		德立庄 - 高雄博爱馆	蓮蓬頭功能很好，冷熱水調整響應算快速...
10		kao-hsiung	2018年2月17日		塩旅社	大阳台很棒，离艺术区及码头都很近
9.2		kao-hsiung	2018年1月23日		塩旅社	挺好的
9.6		kao-hsiung	2018年5月14日		宫赏艺术大饭店	捷运美丽岛，六合夜市几分钟就到，房间不错哇，早餐也很好！
6.3		kao-hsiung	2018年5月12日		宫赏艺术大饭店	早餐品种丰富，餐厅工作人员服务不错
10		kao-hsiung	2017年7月25日		华大商旅	服务周到！整洁卫生！
6.7		kao-hsiung	2017年7月4日		华大商旅	出行很方便，价格不高，性价比还不错
8.8		kao-hsiung	2018年11月30日		西子湾沙滩会馆	景觀無敵的休閒度假勝地
10		kao-hsiung	2019年2月15日		青雨行馆 	这次订晚了，如果以后入住，要早点预订，有窗的房间更舒适。
10		kao-hsiung	2019年2月21日		高雄丽馨商旅七贤馆	房间不大，还算干净。
7.1		kao-hsiung	2019年2月11日		高雄丽馨商旅七贤馆	服务超好，超客气，最大亮点
10		kao-hsiung	2019年1月22日		单人房住宿空间 - 高雄林森馆	总体满意
10		kao-hsiung	2019年1月19日		单人房住宿空间 - 高雄林森馆	便宜簡便
10		t-ai-pei	2018年5月20日		信星青年旅馆 - 台北车站	很有國際感的旅店
3.8		t-ai-pei	2018年5月19日		信星青年旅馆 - 台北车站	性价比不高，失望
10		kao-hsiung	2017年8月1日		鸟巢顶级商旅	第2次入住了，各方面都很好！
10		kao-hsiung	2017年7月30日		鸟巢顶级商旅	提早到酒店了，还免费让我提早入住，真好。
3.3		kao-hsiung	2018年5月15日		城市商旅 - 真爱馆	飯店超賣房間，已訂好房間了卻説沒房。
8.8		kao-hsiung	2018年4月26日		城市商旅 - 真爱馆	驳二艺术区旁，看到海港，风景极佳。
